2025-03-24_19:47:22 | Session ID: 1742842029 | Name: unknown    | UPLOAD | Status: REQUESTED  | File: original= tunnel.png, sanitized= tunnel.png, saved= tunnel_2025-03-24_19:47:22.png
2025-03-24_19:47:22 | Session ID: 1742842029 | Name: unknown    | UPLOAD | Status: SUCCESS    | File: original= tunnel.png, sanitized= tunnel.png, saved= tunnel_2025-03-24_19:47:22.png
2025-03-24_19:47:33 | Session ID: 1742842029 | Name: unknown    | DELETE | Status: REQUESTED  | File: /tunnel_2025-03-24_19:47:22.png
2025-03-24_19:47:33 | Session ID: 1742842029 | Name: unknown    | DELETE | Status: SUCCESS    | File: /tunnel_2025-03-24_19:47:22.png
2025-03-24_19:47:49 | Session ID: 1742842029 | Name: unknown    | DELETE | Status: REQUESTED  | File: /password.txt
2025-03-24_19:48:01 | Session ID: 1742842029 | Name: unknown    | UPLOAD | Status: REQUESTED  | File: original= meow.png, sanitized= meow.png, saved= meow_2025-03-24_19:48:01.png
2025-03-24_19:48:01 | Session ID: 1742842029 | Name: unknown    | UPLOAD | Status: SUCCESS    | File: original= meow.png, sanitized= meow.png, saved= meow_2025-03-24_19:48:01.png
2025-04-01_18:46:04 | Session ID: 1743525936 | Name: unknown    | UPLOAD | Status: REQUESTED  | File: original= cyber_grid.jpg, sanitized= cyber_grid.jpg, saved= cyber_grid_2025-04-01_18:46:04.jpg
2025-04-01_18:46:04 | Session ID: 1743525936 | Name: unknown    | UPLOAD | Status: SUCCESS    | File: original= cyber_grid.jpg, sanitized= cyber_grid.jpg, saved= cyber_grid_2025-04-01_18:46:04.jpg
2025-04-07_17:03:16 | Session ID: 1744038196 | Name: unknown    | DELETE | Status: REQUESTED  | File: /uploads/
2025-04-07_17:05:13 | Session ID: 1744038313 | Name: unknown    | DELETE | Status: REQUESTED  | File: /uploads/test.txt
2025-04-07_17:14:23 | Session ID: 1744038863 | Name: unknown    | DELETE | Status: REQUESTED  | File: /uploads/test.txt
2025-04-07_17:15:23 | Session ID: 1744038923 | Name: unknown    | DELETE | Status: REQUESTED  | File: /uploads/test.txt
2025-04-07_17:15:58 | Session ID: 1744038958 | Name: unknown    | DELETE | Status: REQUESTED  | File: /uploads/test.txt
2025-04-07_17:17:46 | Session ID: 1744017386 | Name: unknown    | DELETE | Status: REQUESTED  | File: /test.txt
2025-04-07_17:17:46 | Session ID: 1744017386 | Name: unknown    | DELETE | Status: SUCCESS    | File: /test.txt
2025-04-07_21:37:40 | Session ID: 1744054660 | Name: unknown    | DELETE | Status: REQUESTED  | File: /uploads/test.txt
2025-04-07_21:39:25 | Session ID: 1744054765 | Name: unknown    | DELETE | Status: REQUESTED  | File: /uploads/test.txt
2025-04-07_21:46:54 | Session ID: 1744055214 | Name: unknown    | DELETE | Status: REQUESTED  | File: /uploads/test.txt
2025-04-11_23:21:12 | Session ID: 1744406472 | Name: unknown    | DELETE | Status: REQUESTED  | File: /uploads/hello.txt
2025-04-11_23:21:12 | Session ID: 1744406472 | Name: unknown    | DELETE | Status: SUCCESS    | File: /uploads/hello.txt
2025-04-11_23:21:12 | Session ID: 1744406472 | Name: unknown    | DELETE | Status: REQUESTED  | File: /uploads/inexistent.txt
2025-04-12_00:18:03 | Session ID: 1744409883 | Name: unknown    | DELETE | Status: REQUESTED  | File: /uploads/hello.txt
2025-04-12_00:18:03 | Session ID: 1744409883 | Name: unknown    | DELETE | Status: SUCCESS    | File: /uploads/hello.txt
2025-04-12_00:18:04 | Session ID: 1744409884 | Name: unknown    | DELETE | Status: REQUESTED  | File: /uploads/inexistent.txt
2025-04-12_00:21:10 | Session ID: 1744410070 | Name: unknown    | DELETE | Status: REQUESTED  | File: /uploads/hello.txt
2025-04-12_00:21:10 | Session ID: 1744410070 | Name: unknown    | DELETE | Status: SUCCESS    | File: /uploads/hello.txt
2025-04-12_00:21:10 | Session ID: 1744410070 | Name: unknown    | DELETE | Status: REQUESTED  | File: /uploads/inexistent.txt
2025-04-12_00:21:53 | Session ID: 1744410113 | Name: unknown    | DELETE | Status: REQUESTED  | File: /uploads/hello.txt
2025-04-12_00:21:53 | Session ID: 1744410113 | Name: unknown    | DELETE | Status: SUCCESS    | File: /uploads/hello.txt
2025-04-12_00:21:53 | Session ID: 1744410113 | Name: unknown    | DELETE | Status: REQUESTED  | File: /uploads/inexistent.txt
2025-04-12_00:26:00 | Session ID: 1744410360 | Name: unknown    | DELETE | Status: REQUESTED  | File: /uploads/hello.txt
2025-04-12_00:26:00 | Session ID: 1744410360 | Name: unknown    | DELETE | Status: SUCCESS    | File: /uploads/hello.txt
2025-04-12_00:26:00 | Session ID: 1744410360 | Name: unknown    | DELETE | Status: REQUESTED  | File: /uploads/inexistent.txt
2025-04-12_00:27:07 | Session ID: 1744410427 | Name: unknown    | DELETE | Status: REQUESTED  | File: /uploads/hello.txt
2025-04-12_00:27:07 | Session ID: 1744410427 | Name: unknown    | DELETE | Status: SUCCESS    | File: /uploads/hello.txt
2025-04-12_00:27:07 | Session ID: 1744410427 | Name: unknown    | DELETE | Status: REQUESTED  | File: /uploads/inexistent.txt
2025-04-12_01:22:38 | Session ID: 1744413730 | Name: unknown    | UPLOAD | Status: REQUESTED  | File: original= subject.txt, sanitized= subject.txt, saved= subject_2025-04-12_01:22:38.txt
2025-04-12_01:22:38 | Session ID: 1744413730 | Name: unknown    | UPLOAD | Status: SUCCESS    | File: original= subject.txt, sanitized= subject.txt, saved= subject_2025-04-12_01:22:38.txt
2025-04-12_01:24:50 | Session ID: 1744413730 | Name: unknown    | UPLOAD | Status: REQUESTED  | File: original= subject.txt, sanitized= subject.txt, saved= subject_2025-04-12_01:24:50.txt
2025-04-12_01:24:50 | Session ID: 1744413730 | Name: unknown    | UPLOAD | Status: SUCCESS    | File: original= subject.txt, sanitized= subject.txt, saved= subject_2025-04-12_01:24:50.txt
2025-04-12_18:22:29 | Session ID: 1744474949 | Name: unknown    | DELETE | Status: REQUESTED  | File: /uploads/hello.txt
2025-04-12_18:22:29 | Session ID: 1744474949 | Name: unknown    | DELETE | Status: SUCCESS    | File: /uploads/hello.txt
2025-04-12_18:22:29 | Session ID: 1744474949 | Name: unknown    | DELETE | Status: REQUESTED  | File: /uploads/inexistent.txt
2025-04-12_18:23:20 | Session ID: 1744475000 | Name: unknown    | DELETE | Status: REQUESTED  | File: /uploads/hello.txt
2025-04-12_18:23:20 | Session ID: 1744475000 | Name: unknown    | DELETE | Status: SUCCESS    | File: /uploads/hello.txt
2025-04-12_18:23:20 | Session ID: 1744475000 | Name: unknown    | DELETE | Status: REQUESTED  | File: /uploads/inexistent.txt
2025-04-12_18:23:49 | Session ID: 1744475029 | Name: unknown    | DELETE | Status: REQUESTED  | File: /uploads/hello.txt
2025-04-12_18:23:49 | Session ID: 1744475029 | Name: unknown    | DELETE | Status: SUCCESS    | File: /uploads/hello.txt
2025-04-12_18:24:26 | Session ID: 1744475066 | Name: unknown    | DELETE | Status: REQUESTED  | File: /uploads/hello.txt
2025-04-12_18:24:26 | Session ID: 1744475066 | Name: unknown    | DELETE | Status: SUCCESS    | File: /uploads/hello.txt
2025-04-12_18:24:26 | Session ID: 1744475066 | Name: unknown    | DELETE | Status: REQUESTED  | File: /uploads/inexistent.txt
2025-04-12_18:24:57 | Session ID: 1744475097 | Name: unknown    | DELETE | Status: REQUESTED  | File: /uploads/hello.txt
2025-04-12_18:24:57 | Session ID: 1744475097 | Name: unknown    | DELETE | Status: SUCCESS    | File: /uploads/hello.txt
2025-04-12_18:24:57 | Session ID: 1744475097 | Name: unknown    | DELETE | Status: REQUESTED  | File: /uploads/inexistent.txt
2025-04-12_23:20:45 | Session ID: 1744492845 | Name: unknown    | DELETE | Status: REQUESTED  | File: /uploads/hello.txt
2025-04-12_23:20:45 | Session ID: 1744492845 | Name: unknown    | DELETE | Status: SUCCESS    | File: /uploads/hello.txt
2025-04-12_23:20:45 | Session ID: 1744492845 | Name: unknown    | DELETE | Status: REQUESTED  | File: /uploads/inexistent.txt
2025-04-12_23:20:56 | Session ID: 1744492856 | Name: unknown    | DELETE | Status: REQUESTED  | File: /uploads/hello.txt
2025-04-12_23:20:56 | Session ID: 1744492856 | Name: unknown    | DELETE | Status: SUCCESS    | File: /uploads/hello.txt
2025-04-12_23:20:56 | Session ID: 1744492856 | Name: unknown    | DELETE | Status: REQUESTED  | File: /uploads/inexistent.txt
2025-04-12_23:24:56 | Session ID: 1744493096 | Name: unknown    | DELETE | Status: REQUESTED  | File: /uploads/hello.txt
2025-04-12_23:24:56 | Session ID: 1744493096 | Name: unknown    | DELETE | Status: SUCCESS    | File: /uploads/hello.txt
2025-04-12_23:24:56 | Session ID: 1744493096 | Name: unknown    | DELETE | Status: REQUESTED  | File: /uploads/inexistent.txt
2025-04-12_23:34:25 | Session ID: 1744493665 | Name: unknown    | DELETE | Status: REQUESTED  | File: /uploads/hello.txt
2025-04-12_23:34:25 | Session ID: 1744493665 | Name: unknown    | DELETE | Status: SUCCESS    | File: /uploads/hello.txt
2025-04-12_23:34:25 | Session ID: 1744493665 | Name: unknown    | DELETE | Status: REQUESTED  | File: /uploads/inexistent.txt
2025-04-12_23:58:25 | Session ID: 1744495105 | Name: unknown    | DELETE | Status: REQUESTED  | File: /uploads/hello.txt
2025-04-12_23:58:25 | Session ID: 1744495105 | Name: unknown    | DELETE | Status: SUCCESS    | File: /uploads/hello.txt
2025-04-12_23:58:25 | Session ID: 1744495105 | Name: unknown    | DELETE | Status: REQUESTED  | File: /uploads/inexistent.txt
